Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Expansion|||which has agreed to sell its assets to Coors|||Both Coors and Stroh have recently been ceding market share to Miller and Anheuser
Expansion|||The catalog retailer reported net income of $10.8 million, or 21 cents a share, up sharply from $6.6 million, or 13 cents a share, a year earlier|||Revenue rose to $372.1 million from $336.4 million
Expansion|||margins improved because its inventory position this year didn't need the costly markdowns required to trim last year's swollen levels|||the apparel market troughed in the first half of 1988, then began showing improvement in the second half of last year
Expansion|||then began showing improvement in the second half of last year|||We've seen continued improvement in 1989
Expansion|||For the latest nine months, Spiegel's net climbed a solid 47% to $23.8 million, or 46 cents a share, from $16.2 million, or 34 cents|||Unlike the quarter's results, which were based on roughly equal shares outstanding, nine-month per-share figures reflect an increase in average common shares outstanding to 51.9 million from 47 million
Expansion|||For the latest nine months, Spiegel's net climbed a solid 47% to $23.8 million, or 46 cents a share, from $16.2 million, or 34 cents.|||Nine-month revenue was $1.02 billion, up 22% from $841.5 million
Expansion|||he points the gun in the wrong direction|||It isn't the Americans who must be criticized for not understanding the Japanese culture, but the Japanese who insist on forcing their culture on Americans
Expansion|||Americans place native or native speakers in charge of subsidiaries overseas|||European multinationals do likewise; even in America, their affiliates are usually run by American managers
Expansion|||Americans place native or native speakers in charge of subsidiaries overseas.|||even in America, their affiliates are usually run by American managers
Expansion|||A manager should not have to rebut the opinions of his employees about the style of his management.|||Japanese culture vs.
Expansion|||Japanese culture vs.|||The key is how a manager from one culture can motivate employees from another
Expansion|||For Mr. Kageyama to argue that American employees must passively accept a direct imposition of the Japanese way of doing things is outright cultural chauvinism of the first order|||The Japanese are neglecting the opportunity to synthesize a new corporate culture based on a fusion of the best aspects of both national cultures
Expansion|||it is clear that our constitutionally mandated civil rights have evolved not through the goodness of people's hearts but through legislation and constitutional amendments|||This is how American women won the right to vote
Expansion|||For the more than 43 million Americans with disabilities, the 1989 Americans With Disabilities Act provides the missing piece|||Disabled Americans have had their civil rights guaranteed in all federally funded programs since Section 504 was passed as a part of the 1973 Rehabilitation Act.
Expansion|||Disabled Americans have had their civil rights guaranteed in all federally funded programs since Section 504 was passed as a part of the 1973 Rehabilitation Act|||The 1989 act simply extends these guarantees to the private sector
Expansion|||Those who fear a plethora of suits paralyzing our legal system need only look at the record on the Rehabilitation Act|||Without legal recourse, there are no guarantees of civil rights for anyone
Expansion|||West Texas Intermediate, the U.S. benchmark crude, seemed tethered again yesterday in trading on the New York Mercantile Exchange|||Widely expected to open 10 to 15 cents a barrel higher on the strength of statistics from the American Petroleum Institute, the December contract managed to start the session only eight cents higher
Expansion|||late October weather, especially in the Northeast U.S., continues to be very moderate|||We aren't seeing any cold weather here," Mr. Bolling said from New York
Expansion|||As for corn and soybean futures, "a lot of commission house buying this morning and computer-driven buying" supported prices in early trading|||Soybean futures for November delivery gained 5.25 cents a bushel to close at $5.66 a bushel on the Chicago Board of Trade.
Expansion|||Soybean futures for November delivery gained 5.25 cents a bushel to close at $5.66 a bushel on the Chicago Board of Trade|||December corn futures added 2.25 cents a bushel to close at $2.4225 a bushel on the Board of Trade
Expansion|||Announced and anticipated purchases from foreign countries are also supporting futures prices|||Russian ships are arriving in the gulf and there isn't enough grain in the pipeline
Expansion|||Russian ships are arriving in the gulf and there isn't enough grain in the pipeline|||The Soviet Union has purchased roughly eight million tons of grain this month, and is expected to take delivery by year end
Expansion|||Futures prices rose modestly|||The December contract settled at 73.97 cents a pound, up 0.59 cent
Expansion|||Traders who had sold contracts earlier, in hopes of buying them back at lower prices, yesterday were buying contracts back at higher prices to limit their losses|||that the market could have been helped by rumors, which have been circulating for the past two days, about China purchasing cotton
